stop_id,stop_name,stop_lat,stop_lon
64006,L' Alcúdia De Crespíns,38.969058,-0.586444
64007,L' Enova - Manuel,39.046198,-0.491531
64100,Xàtiva,38.992117,-0.524539
64102,La Pobla Llarga,39.083326,-0.46966
64103,Carcaixent,39.120482,-0.454431
64104,Alzira,39.153168,-0.450646
64105,Algemesí,39.193158,-0.440914
64107,Benifaio-almussafes,39.284236,-0.430006
64200,Silla,39.361743,-0.41497
64201,Catarroja,39.399985,-0.399204
64202,Massanassa,39.40916,-0.395315
64203,Alfafar-benetusser,39.422335,-0.3926
65000,Valencia-estacio Del Nord,39.466928,-0.377036
65001,Roca-Cúper,39.52619,-0.323843
65002,Fuente San Luis,39.44145,-0.369933
65003,Cabanyal,39.469877,-0.334687
65005,Albuixech,39.543626,-0.320513
65006,Massalfassar-albuixech,39.555644,-0.318346
65007,El Puig,39.588315,-0.311775
65008,Puzol  Puçol,39.617547,-0.30471
65200,Sagunt,39.675761,-0.271544
65201,Les Valls,39.719317,-0.239798
65202,Almenara,39.74879,-0.218412
65203,La Llosa,39.767845,-0.20299
65204,Chilches / Xilxes,39.782669,-0.19019
65205,Moncófar,39.820885,-0.162617
65206,Nules-villavieja,39.853383,-0.152454
65207,Burriana - Alquerias Del Niño Perdido,39.896461,-0.103922
65208,Vila-real,39.933049,-0.096779
65209,Almassora,39.954855,-0.076776
65300,Castellón De La Plana,39.987889,-0.052657
66200,Utiel,39.570573,-1.202359
66201,San Antonio De Requena,39.522267,-1.150444
66202,Requena,39.491126,-1.104662
66203,El Rebollar,39.477239,-1.011699
66204,Siete Aguas,39.456885,-0.903049
66205,Venta Mina-siete Aguas,39.454279,-0.870248
66206,Buñol,39.427152,-0.787314
66207,Chiva,39.471073,-0.72293
66208,Cheste,39.490836,-0.68627
66209,Loriguilla-reva,39.485702,-0.567405
66210,Circuit Ricardo Tormo,39.495476,-0.625977
66211,Aldaia,39.461018,-0.464199
66212,San Isidre,39.452626,-0.405917
66214,Xirivella-alquería,39.462567,-0.432195
67211,Caudiel,39.947286,-0.571853
67212,Jérica-viver,39.914925,-0.569407
67213,Navajas,39.874504,-0.505844
67214,Segorbe Arrabal,39.854526,-0.493887
67215,Segorbe Ciudad,39.847105,-0.482445
67216,Algimia-ciudad,39.753034,-0.365693
67217,Soneja,39.812628,-0.431756
67221,Estivella-albalat Dels Tarongers,39.706328,-0.348142
67223,Gilet,39.679394,-0.320723
69101,El Romani,39.302977,-0.394189
69102,Sollana,39.279245,-0.379394
69103,Sueca,39.205858,-0.307725
69104,Cullera,39.177928,-0.263126
69105,Tavernes De Valldigna,39.079699,-0.226799
69107,Xeraco,39.026248,-0.214786
69110,Gandía,38.970087,-0.179859
69111,Platja I Grau De Gandía,38.990111,-0.162704
69200,Xirivella - L'alter,39.463681,-0.420987
70001,Vallecas,40.382264,-3.624931
70002,Asamblea De Madrid-entrevias,40.381687,-3.668576
70003,El Pozo,40.376122,-3.656216
70100,Vicálvaro,40.401279,-3.595966
70101,San Fernando De Henares,40.442554,-3.533973
70102,Torrejon De Ardoz,40.454736,-3.479794
70103,Alcalá De Henares,40.489027,-3.365765
70104,Meco,40.534567,-3.298737
70105,Azuqueca,40.561091,-3.265547
70107,Alcala Henares Universidad,40.505356,-3.335266
70108,Coslada,40.423784,-3.561379
70109,Santa Eugenia,40.386852,-3.608859
70111,La Garena,40.48059,-3.393097
70112,Soto del Henares,40.468059,-3.447097
70200,Guadalajara,40.644226,-3.182269
70800,Casetas,41.722971,-1.021214
70801,Utebo-pueblo,41.710657,-0.997989
70806,Zaragoza-El Portillo,41.652673,-0.896046
70807,Zargoza-Goya,41.643967,-0.89114
71100,Miraflores,41.632324,-0.866514
71600,Sant Vicenç De Calders,41.186167,1.524797
71601,Calafell,41.189651,1.574993
71602,Segur De Calafell,41.192562,1.606431
71603,Cunit,41.195036,1.631876
71604,Cubelles,41.20434,1.675957
71700,Vilanova I La Geltrú,41.220389,1.730722
71701,Sitges,41.23879,1.809633
71703,Garraf,41.253964,1.902357
71704,Platja Castelldefels,41.266842,1.957181
71705,Castelldefels,41.278755,1.979093
71706,Gavá,41.303417,2.010444
71707,El Prat De Llobregat,41.330626,2.089908
71708,Bellvitge,41.353714,2.115315
71709,Viladecans,41.309407,2.027700
71801,Sants,41.379520,2.140624
71802,Passeig De Gracia,41.392281,2.164896
72201,El Vendrell,41.221184,1.537743
72202,L' Arboç,41.273025,1.60012
72203,Els Monjos,41.314752,1.659853
72204,Vilafranca Del Penedès,41.344811,1.703112
72205,La Granada,41.371016,1.725036
72206,Lavern-subirats,41.395657,1.768182
72207,Sant Sadurní D'anoia,41.420588,1.794639
72208,Gelida,41.448531,1.865498
72209,Martorell,41.478787,1.926459
72210,Castellbisbal,41.47274,1.968605
72211,El Papiol,41.435393,2.002647
72300,Molins De Rei,41.409844,2.02057
72301,Sant Feliu De Llobregat,41.382935,2.047834
72302,Sant Joan D'espi,41.36854,2.060147
72303,Cornellà,41.357469,2.070566
72305,L' Hospitalet De Llobregat,41.364075,2.100711
72400,Aeroport,41.303844,2.072180
72501,Rubí,41.475178,2.0371
72502,Sant Cugat Del Valles,41.480973,2.079731
72503,Cerdanyola Universitat,41.497107,2.115482
77002,Montcada-ripollet,41.496841,2.181941
77003,Santa Perpétua De Mogoda,41.521686,2.194315
77004,Mollet-santa Rosa,41.536597,2.206189
77005,Parets Del Valles,41.556292,2.225992
77006,Granollers-canovelles,41.611416,2.277008
77100,Les Franqueses De Vallés,41.629722,2.295206
77102,La Garriga,41.684469,2.288748
77103,Figaro,41.720987,2.271625
77104,Sant Martí De Centelles,41.760583,2.24893
77105,Centelles,41.799375,2.222478
77106,Balenyá Els-hostalets,41.814938,2.233315
77107,Balenya-tona-seva,41.841868,2.247519
77109,Vic,41.931034,2.248904
78600,Manresa,41.720393,1.827185
78604,Sant Vicent De Castellet,41.668851,1.862649
78605,Castellbell I El Vilar Monistrol,41.628400,1.868550
78606,Vacarisses,41.601891,1.894388
78607,Vacarisses Torreblanca,41.586759,1.916921
78609,Viladecavalls,41.563853,1.957144
78610,Sant Miquel De Gonteres Viladecavalls,41.568855,1.974213
78700,Terrasa,41.569576,2.014348
78703,Sabadell Sud,41.528716,2.105395
78704,Sabadell Centro,41.547892,2.115053
78705,Barberá Del Vallés,41.513615,2.118535
78706,Cerdanyola Del Vallès,41.492627,2.14743
78707,Montcada I Reixac-santa Maria,41.481154,2.167067
78708,Montcada I Reixac-manresa,41.483951,2.185351
78709,Sabadell Nord,41.562401,2.09591
78710,Terrasa Est.,41.567515,2.039406
78800,Montcada Bifurcación,41.469591,2.179853
78801,Torre Del Barò,41.461354,2.180421
78802,Sant Andreu Arenal,41.430851,2.183104
78804,Arc De Triomf,41.391646,2.180271
78805,Plaça Catalunya,41.38737,2.168856
78806,La Sagrera Meridiana,41.421958,2.187115
79004,Sant Adreu Comtal,41.436083,2.193097
